# x_rms,y_rms,z_rms,x_mean,y_mean,z_mean,x_std,y_std,z_std,label
1.070571638977671630e-01,3.800941493152840134e-01,9.187312998447680901e-01,-1.011020664372257044e-01,3.797491153657459595e-01,9.187205505183336784e-01,3.520807441420479439e-02,1.619171771748720637e-02,4.444251314568773564e-03,0.000000000000000000e+00
9.077076873465279860e-02,3.717398741774048943e-01,9.238885936572046598e-01,-9.043526009045171898e-02,3.713033292835461463e-01,9.238628137119774264e-01,7.797191100144447613e-03,1.801032249537154115e-02,6.901806290797501443e-03,0.000000000000000000e+00
1.050268929743760071e-01,3.602270884106426596e-01,9.269335448279666378e-01,-1.049373802051436905e-01,3.601294990367917559e-01,9.269288459792379697e-01,4.335260491845170129e-03,8.384458737354747587e-03,2.951443534680348382e-03,0.000000000000000000e+00
1.301859730557539119e-01,3.405841766528766024e-01,9.311573610476419072e-01,-1.288796912461350752e-01,3.404339383305465261e-01,9.311425545230330725e-01,1.839599860769674036e-02,1.011508868332388657e-02,5.251113170455309551e-03,0.000000000000000000e+00
1.191624392894577722e-01,3.558442789128767880e-01,9.269170201412643140e-01,-1.188034601696149190e-01,3.556973665021391784e-01,9.269094292160607873e-01,9.242553172171975168e-03,1.022420160541321135e-02,3.751300830017715530e-03,0.000000000000000000e+00
1.177921869589136916e-01,3.691468368791919197e-01,9.218761378371411741e-01,-1.175567795266339588e-01,3.690513199959923885e-01,9.218716477055100000e-01,7.443312158579021114e-03,8.397046333584434405e-03,2.877267844993390989e-03,0.000000000000000000e+00
1.160034182849393330e-01,3.787783054273065053e-01,9.181885439733101784e-01,-1.155157997837322897e-01,3.787545846393354232e-01,9.181860468206423098e-01,1.062511431069194066e-02,4.239018408356531528e-03,2.141426559293698687e-03,0.000000000000000000e+00
1.209381474914351662e-01,3.949294973399870567e-01,9.107165621707585812e-01,-1.208818087700616190e-01,3.938766596381692575e-01,9.106173651167693839e-01,3.691046889214151441e-03,2.881813424725221048e-02,1.344138980602820055e-02,0.000000000000000000e+00
1.112549873815447399e-01,3.823913099839226781e-01,9.172781551042802350e-01,-1.110947716442775707e-01,3.818801915961330118e-01,9.172424534619788572e-01,5.968578605790584787e-03,1.976444326868748852e-02,8.092922745308124902e-03,0.000000000000000000e+00
1.323029876617176914e-01,3.569762122509332336e-01,9.246966547699629890e-01,-1.302313938497108303e-01,3.566650206114292398e-01,9.246848236815700117e-01,2.332090478901114802e-02,1.490232147257989498e-02,4.677627148858368514e-03,0.000000000000000000e+00
1.211549534898948705e-01,3.543006899319919856e-01,9.272499654130895719e-01,-1.136306121764804472e-01,3.536643426221817710e-01,9.272241081810790320e-01,4.203102106226876827e-02,2.122525957215886869e-02,6.924706952524673810e-03,0.000000000000000000e+00
7.575311083050986771e-02,3.537445822042159516e-01,9.322694013860290951e-01,-7.249164713980277286e-02,3.531760139941510501e-01,9.322357258106220845e-01,2.198851735469756208e-02,2.004825623435893198e-02,7.923905792468400114e-03,0.000000000000000000e+00
3.375343645104432466e-02,3.798267396351639458e-01,9.244416441213942903e-01,-1.419954336409985814e-02,3.781642639198897204e-01,9.243382659017950198e-01,3.062135595472112795e-02,3.549847371094457665e-02,1.382474504391312947e-02,0.000000000000000000e+00
5.564889159985855066e-02,4.455050089995165608e-01,8.935482571299928622e-01,1.087343212385527384e-02,4.430250669996198543e-01,8.932974905343705752e-01,5.457625500289223219e-02,4.694148542218983672e-02,2.116792916286009893e-02,0.000000000000000000e+00
6.166134121648818300e-02,4.433145658575318171e-01,8.942427381298279077e-01,-5.995971289443874364e-02,4.428433300885328272e-01,8.941868791429697927e-01,1.438588997012904894e-02,2.043500177515497271e-02,9.994992070424691538e-03,0.000000000000000000e+00
1.182499627404924869e-01,4.964766903014569133e-01,8.599580468250666021e-01,-1.135068521175516681e-01,4.950590959507741862e-01,8.595774254698320682e-01,3.315491231314180581e-02,3.749127270566995906e-02,2.558303973023347277e-02,0.000000000000000000e+00
1.297112916537966898e-01,4.541096205400350638e-01,8.814530239045578197e-01,-1.257029086549136532e-01,4.526553208116660953e-01,8.812086595186627846e-01,3.199684262846476390e-02,3.631401944018668171e-02,2.075407766705734958e-02,0.000000000000000000e+00
5.292902001764294984e-02,3.861938698369672962e-01,9.208978302397717863e-01,-2.393872738052751914e-02,3.857485867603842600e-01,9.208690602687422677e-01,4.720612768940945364e-02,1.854003538342684568e-02,7.279256835891967196e-03,0.000000000000000000e+00
4.346573575836207293e-02,4.020535781714094647e-01,9.145838671737821501e-01,-3.324962791219530922e-02,4.020065628051991968e-01,9.145814319788317936e-01,2.799522153361744953e-02,6.148429228924019892e-03,2.110538817481987395e-03,0.000000000000000000e+00
4.334887989820285920e-02,3.911317842378754239e-01,9.193132229933752564e-01,-4.169385309804416601e-02,3.909744878500771015e-01,9.193009562057153916e-01,1.186372632302047300e-02,1.109155045401011459e-02,4.749093568744981037e-03,0.000000000000000000e+00
4.034071255065420358e-02,4.027951446271545444e-01,9.144007318324363087e-01,-3.777103210275004064e-02,4.027298160781123126e-01,9.143955881810112984e-01,1.416764705191143892e-02,7.254224762178279780e-03,3.067032898003673076e-03,0.000000000000000000e+00
6.012560514403256229e-02,3.780024996066436160e-01,9.238501079164266327e-01,-5.963689594457757120e-02,3.778946071127822215e-01,9.238442306915378710e-01,7.650427179690243162e-03,9.030815242630815809e-03,3.295347501197493784e-03,0.000000000000000000e+00
4.018279913064415343e-02,3.745924778743336958e-01,9.263184215883829564e-01,-3.879404946590022524e-02,3.745545307493056697e-01,9.263162996492809720e-01,1.047277766454454695e-02,5.331789118169147183e-03,1.982719863376523461e-03,0.000000000000000000e+00
